Book.Name,Author,Price,Customers_Rated,Rating,Book_cover,
,,,,,,
1,"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.53,"71,348","4.8 out of 5 stars‚Äâ71,348",Paperback
3,The Very Hungry Caterpillar,Eric Carle,5.06,"48,681","4.9 out of 5 stars‚Äâ48,681",Board book
4,Goodnight Moon,Margaret Wise Brown,5.36,"22,647","4.9 out of 5 stars‚Äâ22,647",Board book
5,"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",School Zone,5.99,"61,741","4.8 out of 5 stars‚Äâ61,741",Paperback
6,Why a Daughter Needs a Mom: Celebrate Your Mother Daughter Bond this Mother's Day with this Sweet Picture Book!,Gregory E. Lang,6.89,"2,349","4.9 out of 5 stars‚Äâ2,349",Hardcover
7,Because I Had a Teacher ‚Äî New York Times best seller,Kobi Yamada,7.19,"3,373","4.9 out of 5 stars‚Äâ3,373",Hardcover
8,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,7.74,"77,926","4.7 out of 5 stars‚Äâ77,926",Paperback
9,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,8.89,"74,976","4.7 out of 5 stars‚Äâ74,976",Paperback
10,"Oh, the Places You'll Go!",Dr. Seuss,8.98,"36,141","4.9 out of 5 stars‚Äâ36,141",Hardcover
11,The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,9.42,"71,973","4.6 out of 5 stars‚Äâ71,973",Paperback
12,"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are (Self-Help Workbooks for Women)",Megan Logan MSW  LCSW,9.59,"12,769","4.7 out of 5 stars‚Äâ12,769",Paperback
13,"Tell Me Your Life Story, Mom: A Mother‚Äôs Guided Journal and Memory Keepsake Book (Tell Me Your Life Story¬Æ Series)",Questions About Me,9.95,578,4.7 out of 5 stars‚Äâ578,Paperback
14,"Tell Me Your Life Story, Grandma: A Grandmother‚Äôs Guided Journal and Memory Keepsake Book (Tell Me Your Life Story¬Æ Series)",Questions About Me,9.95,503,4.7 out of 5 stars‚Äâ503,Paperback
15,Where the Crawdads Sing,Delia Owens,9.98,"221,019","4.8 out of 5 stars‚Äâ221,019",Paperback
16,"Mothers Day Gifts: Mom I Want to Hear Your Story: 100 Hand-Designed Pages with Family Tree, Questions, Qutoes and More! Mother's Day Gift Idea for Mom from Daughter and Son",Alberta Chompegne,9.99,5,5.0 out of 5 stars‚Äâ5,Paperback
17,Ugly Love: A Novel,Colleen Hoover,10.4,"40,223","4.7 out of 5 stars‚Äâ40,223",Paperback
18,How to Win Friends & Influence People,Dale Carnegie,10.78,"63,958","4.7 out of 5 stars‚Äâ63,958",Paperback
19,Nana Loves You More,Jimmy Fallon,10.83,827,4.8 out of 5 stars‚Äâ827,Hardcover
20,It Ends with Us: A Novel (1),Colleen Hoover,11.17,"88,865","4.7 out of 5 stars‚Äâ88,865",Paperback
21,Verity,Colleen Hoover,11.26,"85,090","4.6 out of 5 stars‚Äâ85,090",Paperback
23,The 48 Laws of Power,Robert Greene,11.9,"41,036","4.7 out of 5 stars‚Äâ41,036",Paperback
24,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,11.98,"79,977","4.8 out of 5 stars‚Äâ79,977",Hardcover
25,Reminders of Him: A Novel,Colleen Hoover,12.22,"71,963","4.7 out of 5 stars‚Äâ71,963",Paperback
26,"The Flames of Hope (Wings of Fire, Book 15)",Tui T. Sutherland,12.54,"1,516","4.8 out of 5 stars‚Äâ1,516",Hardcover
27,What to Expect When You're Expecting,Heidi Murkoff,12.7,"27,460","4.8 out of 5 stars‚Äâ27,460",Paperback
28,The Midnight Library: A Novel,Matt Haig,13.29,"153,933","4.3 out of 5 stars‚Äâ153,933",Hardcover
29,The 14-Day New Keto Cleanse: Lose Up to 15 Pounds in 2 Weeks with Delicious Meals and Low-Sugar Smoothies,JJ Smith,13.38,162,4.8 out of 5 stars‚Äâ162,Paperback
30,The Last Thing He Told Me: A Novel,Laura Dave,13.5,"85,754","4.3 out of 5 stars‚Äâ85,754",Hardcover
31,Book Lovers,Emily Henry,13.6,21,4.6 out of 5 stars‚Äâ21,Paperback
32,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,13.76,"66,694","4.6 out of 5 stars‚Äâ66,694",Hardcover
33,Johnny the Walrus,Matt Walsh,14.18,"2,620","4.9 out of 5 stars‚Äâ2,620",Board book
34,The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today,Shannon Bream,14.95,"10,297","4.8 out of 5 stars‚Äâ10,297",Hardcover
35,"New Handbook for a Post-Roe America: The Complete Guide to Abortion Legality, Access, and Practical Support",Robin Marty,16.38,36,4.6 out of 5 stars‚Äâ36,Paperback
36,Magnolia Table,Joanna Gaines,16.59,"30,163","4.8 out of 5 stars‚Äâ30,163",Hardcover
37,My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,16.88,"43,332","4.6 out of 5 stars‚Äâ43,332",Board book
38,Rand McNally 2022 Large Scale Road Atlas,Rand McNally,16.95,"11,958","4.7 out of 5 stars‚Äâ11,958",Spiral-bound
39,The Mothers and Daughters of the Bible Speak: Lessons on Faith from Nine Biblical Families,Shannon Bream,17.05,786,4.9 out of 5 stars‚Äâ786,Hardcover
40,Book of Questions,Pablo Neruda,17.99,1,5.0 out of 5 stars‚Äâ1,Hardcover
