Book Name,Author,Price,Customers_Rated,Rating,Book_cover
Finding Me: A Memoir,Viola Davis,$18.84 ,314,4.8 out of 5 stars 314,Hardcover
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,$11.98 ,"79,977","4.8 out of 5 stars 79,977",Hardcover
"This Will Not Pass: Trump, Biden, and the Battle for America's Future",Jonathan Martin,$24.99 ,4,4.2 out of 5 stars 4,Hardcover
Bill O'Reilly,,,,,
Just Tyrus: A Memoir,Tyrus,$32.49 ,898,4.7 out of 5 stars 898,Hardcover
Book Lovers,Emily Henry,$13.60 ,21,4.6 out of 5 stars 21,Paperback
The Mothers and Daughters of the Bible Speak: Lessons on Faith from Nine Biblical Families,Shannon Bream,$17.05 ,786,4.9 out of 5 stars 786,Hardcover
Johnny the Walrus,Matt Walsh,$14.18 ,"2,620","4.9 out of 5 stars 2,620",Board book
Where the Crawdads Sing,Delia Owens,$9.98 ,"221,019","4.8 out of 5 stars 221,019",Paperback
"Oh, the Places You'll Go!",Dr. Seuss,$8.98 ,"36,141","4.9 out of 5 stars 36,141",Hardcover
River of Time: My Descent into Depression and How I Emerged with Hope,Naomi Judd,,,,
It Ends with Us: A Novel (1),Colleen Hoover,$11.17 ,"88,865","4.7 out of 5 stars 88,865",Paperback
Verity,Colleen Hoover,$11.26 ,"85,090","4.6 out of 5 stars 85,090",Paperback
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,$9.42 ,"71,973","4.6 out of 5 stars 71,973",Paperback
"Mothers Day Gifts: Mom I Want to Hear Your Story: 100 Hand-Designed Pages with Family Tree, Questions, Qutoes and More! Mother's Day Gift Idea for Mom from Daughter and Son",Alberta Chompegne,$9.99 ,5,5.0 out of 5 stars 5,Paperback
Jennifer Grey,,,,,
Outdoor Kids in an Inside World: Getting Your Family Out of the House and Radically Engaged with Nature,Steven Rinella,$18.29 ,2,4.5 out of 5 stars 2,Hardcover
"Half Baked Harvest Every Day: Recipes for Balanced, Flexible, Feel-Good Meals: A Cookbook",Tieghan Gerard,$19.48 ,857,4.8 out of 5 stars 857,Hardcover
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,$11.40 ,Bessel van der Kolk M.D.,"4.8 out of 5 stars 46,647",Paperback
