Book Name,Year,Author,Price,Book_cover
"Heartstopper, Volume 2",2020,Alice Oseman,12.99,Paperback
"Heartstopper, Volume 1",2020,Alice Oseman,12.99,Paperback
The Mothers and Daughters of the Bible Speak: Lessons on Faith from Nine Biblical Families,2022,Shannon Bream,19.99,Hardcover
Book Lovers,2022,Emily Henry,14.99,Paperback
Knight Owl,2022,Christopher Denise,14.99,Hardcover
Fifty Shades Freed 10th Anniversary Edition,2022,E L James,31.99,Hardcover
"This Will Not Pass: Trump, Biden, and the Battle for America's Future",2022,"Jonathan  Martin, Alexander Burns",24.99,Hardcover
Finding Me,2022,Viola Davis,22.99,Hardcover
Happy Dreamer,2022,Peter H. Reynolds,$5.00 ,Hardcover
It Starts with Us: A Novel,2022,Colleen Hoover,13.99,Paperback
The Seven Husbands of Evelyn Hugo: A Novel,2018,Taylor Jenkins Reid,12.99,Paperback
It Ends with Us,2016,Colleen Hoover,12.99,Paperback
22 Seconds,2022,"James Patterson, Maxine Paetro",19.99,Hardcover
Killing the Killers: The Secret War Against Terrorists,2022,"Bill O'Reilly, Martin Dugard",20.99,Hardcover
Lightlark,2022,Alex Aster,16.99,Hardcover
"Oh, the Places You'll Go!",2013,Dr. Seuss,17.99,Hardcover
"Spy x Family, Vol. 3",2020,Tatsuya Endo,$9.99 ,Paperback
"Jujutsu Kaisen, Vol. 7",2020,Gege Akutami,$9.99 ,Paperback
Just Tyrus: A Memoir,2022,Tyrus,23.49,Hardcover
"Run, Rose, Run",2022,"Dolly Parton and James Patterson, Dolly Parton, James Patterson",20.99,Hardcover
"Spy x Family, Vol. 4",2021,Tatsuya Endo,$9.99 ,Paperback
"Chainsaw Man, Vol. 1",2020,Tatsuki Fujimoto,$9.99 ,Paperback
Book of Night,2022,Holly Black,21.99,Hardcover
Where the Crawdads Sing,2021,Delia Owens,13.99,Paperback
"Spy x Family, Vol. 1",2020,Tatsuya Endo,$9.99 ,Paperback
Verity,2021,Colleen Hoover,13.99,Paperback
Fifty Shades Darker 10th Anniversary Edition,2022,E L James,31.99,Hardcover
The Night & Its Moon,2022,Piper CJ,15.29,Paperback
"Spy x Family, Vol. 2",2020,Tatsuya Endo,$9.99 ,Paperback
"Spy x Family, Vol. 7",2022,Tatsuya Endo,$9.99 ,Paperback
The Song of Achilles,2012,Madeline Miller,13.99,Paperback
Our Journey Together,2021,Donald J. Trump,67.49,Hardcover
"Spy x Family, Vol. 5",2021,Tatsuya Endo,$9.99 ,Paperback
I Kissed Shara Wheeler,2022,Casey McQuiston,16.99,Hardcover
The Summer I Turned Pretty,2010,Jenny Han,10.49,Paperback
The Women of the Bible Speak: The Wisdom of 16 Women and Their Lessons for Today,2021,Shannon Bream,19.99,Hardcover
The Dictionary of Lost Words: A Novel,2022,Pip Williams,14.99,Paperback
Reminders of Him,2022,Colleen Hoover,12.95,Paperback
Babel: Or the Necessity of Violence: An Arcane History of the Oxford Translators' Revolution,2022,R. F. Kuang,27.99,Hardcover
